source,language,Prediction,Ground Truth
gpt4o,es,1,1
HUMAN,de,0,0
HUMAN,de,0,0
gpt4o,es,1,1
gpt4o,es,1,1
gpt4o,en,1,1
gpt4o,en,1,1
HUMAN,es,0,0
gpt4o,de,1,1
gpt4o,en,0,1
gpt4o,es,0,1
HUMAN,de,0,0
HUMAN,es,0,0
HUMAN,de,0,0
HUMAN,de,0,0
HUMAN,en,0,0
gpt4o,fr,0,1
gpt4o,de,1,1
HUMAN,de,1,0
HUMAN,en,0,0
gpt4o,en,1,1
gpt4o,en,1,1
gpt4o,en,1,1
gpt4o,en,1,1
gpt4o,fr,0,1
gpt4o,en,0,1
gpt4o,es,0,1
gpt4o,en,1,1
HUMAN,en,1,0
gpt4o,es,1,1
gpt4o,es,1,1
gpt4o,de,0,1
HUMAN,de,0,0
gpt4o,de,0,1
HUMAN,fr,0,0
HUMAN,de,0,0
HUMAN,fr,1,0
HUMAN,fr,1,0
gpt4o,en,1,1
HUMAN,es,0,0
gpt4o,de,0,1
gpt4o,es,1,1
HUMAN,en,0,0
gpt4o,fr,0,1
HUMAN,es,1,0
gpt4o,fr,0,1
HUMAN,de,1,0
HUMAN,de,0,0
HUMAN,en,0,0
gpt4o,es,0,1
gpt4o,fr,0,1
gpt4o,fr,1,1
HUMAN,de,0,0
gpt4o,en,1,1
HUMAN,de,0,0
gpt4o,fr,1,1
HUMAN,fr,0,0
gpt4o,en,1,1
HUMAN,de,0,0
HUMAN,de,1,0
HUMAN,es,1,0
HUMAN,de,1,0
gpt4o,de,0,1
gpt4o,fr,1,1
HUMAN,en,1,0
gpt4o,de,1,1
gpt4o,es,1,1
gpt4o,fr,1,1
HUMAN,de,1,0
gpt4o,en,1,1
HUMAN,fr,1,0
HUMAN,es,0,0
gpt4o,en,0,1
gpt4o,de,0,1
HUMAN,en,1,0
gpt4o,en,1,1
HUMAN,es,0,0
gpt4o,de,1,1
HUMAN,fr,0,0
gpt4o,es,1,1
HUMAN,de,1,0
gpt4o,es,1,1
HUMAN,es,0,0
gpt4o,fr,1,1
gpt4o,es,1,1
gpt4o,es,1,1
HUMAN,fr,0,0
gpt4o,de,1,1
gpt4o,en,0,1
gpt4o,fr,0,1
HUMAN,de,1,0
gpt4o,es,1,1
gpt4o,de,0,1
gpt4o,de,1,1
HUMAN,en,0,0
HUMAN,es,0,0
gpt4o,en,1,1
HUMAN,en,0,0
gpt4o,en,0,1
gpt4o,fr,1,1
HUMAN,es,0,0
HUMAN,fr,0,0
HUMAN,en,0,0
HUMAN,es,0,0
HUMAN,de,0,0
HUMAN,de,0,0
gpt4o,de,0,1
gpt4o,de,0,1
gpt4o,de,0,1
gpt4o,es,1,1
gpt4o,de,0,1
gpt4o,de,0,1
HUMAN,es,0,0
HUMAN,de,0,0
HUMAN,de,1,0
gpt4o,fr,1,1
HUMAN,fr,0,0
HUMAN,es,0,0
HUMAN,en,1,0
gpt4o,fr,1,1
gpt4o,en,1,1
HUMAN,en,0,0
HUMAN,de,1,0
gpt4o,de,1,1
HUMAN,es,1,0
HUMAN,en,0,0
gpt4o,en,1,1
HUMAN,fr,1,0
HUMAN,fr,0,0
gpt4o,es,1,1
HUMAN,fr,0,0
HUMAN,es,0,0
HUMAN,es,0,0
HUMAN,de,1,0
gpt4o,es,1,1
gpt4o,es,1,1
gpt4o,es,1,1
gpt4o,de,1,1
gpt4o,en,1,1
gpt4o,en,0,1
HUMAN,en,0,0
gpt4o,de,0,1
HUMAN,es,1,0
gpt4o,es,1,1
gpt4o,es,0,1
HUMAN,fr,0,0
HUMAN,en,0,0
gpt4o,fr,1,1
gpt4o,fr,1,1
HUMAN,de,1,0
HUMAN,de,0,0
gpt4o,en,1,1
gpt4o,en,1,1
gpt4o,es,0,1
HUMAN,de,1,0
HUMAN,de,0,0
gpt4o,fr,1,1
HUMAN,de,0,0
HUMAN,fr,0,0
gpt4o,en,1,1
gpt4o,de,0,1
gpt4o,de,1,1
gpt4o,en,1,1
gpt4o,de,0,1
gpt4o,es,0,1
HUMAN,de,1,0
HUMAN,es,1,0
HUMAN,fr,0,0
HUMAN,en,1,0
HUMAN,de,0,0
gpt4o,en,0,1
HUMAN,de,0,0
gpt4o,en,0,1
gpt4o,en,1,1
HUMAN,fr,0,0
HUMAN,fr,0,0
HUMAN,fr,1,0
HUMAN,en,0,0
HUMAN,en,0,0
gpt4o,es,1,1
gpt4o,en,1,1
gpt4o,en,1,1
gpt4o,en,0,1
gpt4o,de,1,1
HUMAN,de,1,0
HUMAN,en,0,0
HUMAN,en,1,0
gpt4o,fr,0,1
gpt4o,es,1,1
gpt4o,en,1,1
gpt4o,de,1,1
gpt4o,en,1,1
HUMAN,de,0,0
HUMAN,fr,0,0
gpt4o,es,1,1
HUMAN,en,1,0
HUMAN,es,1,0
gpt4o,fr,1,1
gpt4o,en,1,1
HUMAN,es,0,0
HUMAN,de,1,0
HUMAN,fr,0,0
HUMAN,es,0,0
gpt4o,fr,1,1
HUMAN,en,1,0
gpt4o,de,1,1
HUMAN,de,0,0
gpt4o,en,1,1
HUMAN,en,1,0
HUMAN,es,1,0
HUMAN,en,0,0
gpt4o,fr,1,1
HUMAN,fr,1,0
HUMAN,es,0,0
gpt4o,de,0,1
HUMAN,es,0,0
HUMAN,fr,0,0
HUMAN,es,1,0
HUMAN,en,0,0
HUMAN,en,0,0
HUMAN,fr,1,0
HUMAN,es,1,0
HUMAN,en,1,0
HUMAN,es,0,0
gpt4o,de,1,1
HUMAN,es,0,0
gpt4o,de,0,1
gpt4o,fr,0,1
HUMAN,en,1,0
gpt4o,es,0,1
gpt4o,en,0,1
HUMAN,de,0,0
gpt4o,es,1,1
gpt4o,es,1,1
gpt4o,es,0,1
gpt4o,de,0,1
HUMAN,fr,1,0
gpt4o,de,0,1
HUMAN,de,1,0
gpt4o,fr,1,1
HUMAN,de,1,0
gpt4o,en,0,1
HUMAN,es,1,0
HUMAN,de,1,0
HUMAN,es,0,0
gpt4o,fr,0,1
HUMAN,de,1,0
HUMAN,de,1,0
gpt4o,en,0,1
gpt4o,es,0,1
HUMAN,es,0,0
HUMAN,en,1,0
HUMAN,de,0,0
HUMAN,de,0,0
HUMAN,de,0,0
HUMAN,de,1,0
gpt4o,en,1,1
HUMAN,es,0,0
gpt4o,en,1,1
gpt4o,fr,0,1
HUMAN,en,1,0
HUMAN,fr,1,0
HUMAN,en,0,0
HUMAN,de,1,0
HUMAN,fr,0,0
gpt4o,fr,1,1
HUMAN,de,1,0
HUMAN,fr,0,0
gpt4o,en,0,1
HUMAN,en,1,0
HUMAN,fr,0,0
HUMAN,de,1,0
gpt4o,es,1,1
gpt4o,en,1,1
gpt4o,en,0,1
gpt4o,de,1,1
HUMAN,fr,1,0
HUMAN,de,0,0
HUMAN,en,1,0
gpt4o,de,0,1
HUMAN,en,0,0
gpt4o,es,1,1
gpt4o,es,0,1
gpt4o,es,1,1
gpt4o,de,1,1
gpt4o,en,0,1
gpt4o,de,0,1
gpt4o,fr,1,1
HUMAN,en,0,0
HUMAN,de,0,0
gpt4o,de,1,1
HUMAN,fr,1,0
gpt4o,de,1,1
gpt4o,es,0,1
HUMAN,fr,1,0
gpt4o,es,1,1
HUMAN,de,0,0
gpt4o,fr,1,1
HUMAN,es,0,0
HUMAN,en,1,0
HUMAN,es,0,0
HUMAN,es,0,0
gpt4o,en,0,1
HUMAN,de,1,0
gpt4o,fr,1,1
HUMAN,de,1,0
HUMAN,en,0,0
HUMAN,de,1,0
HUMAN,de,0,0
gpt4o,de,1,1
gpt4o,es,1,1
HUMAN,es,1,0
HUMAN,en,1,0
gpt4o,de,0,1
gpt4o,fr,1,1
HUMAN,en,1,0
gpt4o,de,1,1
gpt4o,en,1,1
gpt4o,de,0,1
gpt4o,es,1,1
HUMAN,fr,1,0
HUMAN,de,0,0
HUMAN,de,1,0
gpt4o,de,0,1
HUMAN,es,1,0
HUMAN,es,0,0
gpt4o,es,1,1
gpt4o,en,1,1
HUMAN,fr,1,0
HUMAN,de,1,0
HUMAN,en,1,0
HUMAN,de,1,0
HUMAN,es,1,0
HUMAN,de,0,0
HUMAN,de,0,0
gpt4o,es,1,1
HUMAN,fr,0,0
gpt4o,en,1,1
gpt4o,fr,1,1
gpt4o,en,0,1
HUMAN,en,1,0
gpt4o,de,1,1
HUMAN,fr,0,0
gpt4o,fr,1,1
HUMAN,de,0,0
HUMAN,de,1,0
gpt4o,fr,1,1
gpt4o,en,1,1
HUMAN,es,0,0
HUMAN,es,1,0
HUMAN,es,1,0
HUMAN,de,1,0
gpt4o,en,1,1
gpt4o,en,1,1
HUMAN,fr,0,0
gpt4o,es,0,1
gpt4o,es,0,1
HUMAN,de,0,0
gpt4o,de,1,1
HUMAN,es,1,0
gpt4o,de,1,1
HUMAN,es,1,0
HUMAN,en,1,0
HUMAN,fr,1,0
gpt4o,en,0,1
HUMAN,de,1,0
gpt4o,de,1,1
gpt4o,es,0,1
HUMAN,es,0,0
gpt4o,fr,1,1
HUMAN,fr,1,0
gpt4o,en,1,1
HUMAN,en,1,0
HUMAN,en,1,0
HUMAN,es,1,0
HUMAN,en,1,0
gpt4o,es,1,1
HUMAN,de,1,0
HUMAN,fr,1,0
HUMAN,en,1,0
gpt4o,fr,1,1
gpt4o,de,0,1
HUMAN,de,0,0
gpt4o,de,1,1
gpt4o,fr,1,1
gpt4o,es,1,1
HUMAN,fr,1,0
HUMAN,de,0,0
gpt4o,fr,1,1
HUMAN,en,1,0
HUMAN,de,0,0
gpt4o,en,1,1
gpt4o,de,1,1
HUMAN,de,0,0
HUMAN,es,0,0
HUMAN,de,1,0
gpt4o,de,1,1
gpt4o,es,1,1
gpt4o,es,1,1
HUMAN,es,0,0
HUMAN,es,1,0
gpt4o,es,1,1
gpt4o,es,0,1
HUMAN,en,1,0
HUMAN,en,0,0
HUMAN,fr,1,0
gpt4o,fr,1,1
gpt4o,de,1,1
HUMAN,en,1,0
HUMAN,de,1,0
HUMAN,de,0,0
gpt4o,es,1,1
HUMAN,de,0,0
gpt4o,de,0,1
HUMAN,en,0,0
gpt4o,es,1,1
HUMAN,es,0,0
gpt4o,de,0,1
HUMAN,es,1,0
HUMAN,en,0,0
HUMAN,es,1,0
HUMAN,fr,0,0
gpt4o,fr,0,1
HUMAN,fr,1,0
HUMAN,fr,0,0
HUMAN,de,1,0
HUMAN,en,1,0
gpt4o,de,1,1
gpt4o,en,0,1
gpt4o,de,0,1
HUMAN,es,0,0
HUMAN,de,0,0
gpt4o,en,1,1
gpt4o,en,1,1
HUMAN,en,1,0
HUMAN,de,1,0
HUMAN,fr,0,0
gpt4o,fr,1,1
HUMAN,en,0,0
HUMAN,fr,1,0
gpt4o,es,1,1
gpt4o,de,0,1
gpt4o,es,1,1
gpt4o,fr,0,1
gpt4o,es,1,1
HUMAN,en,1,0
HUMAN,en,0,0
HUMAN,fr,0,0
gpt4o,en,1,1
HUMAN,es,0,0
HUMAN,en,0,0
gpt4o,en,1,1
gpt4o,en,1,1
gpt4o,es,1,1
HUMAN,fr,0,0
HUMAN,es,0,0
gpt4o,en,1,1
HUMAN,fr,1,0
gpt4o,es,1,1
gpt4o,en,1,1
HUMAN,fr,0,0
HUMAN,es,0,0
gpt4o,es,0,1
gpt4o,de,1,1
gpt4o,en,0,1
gpt4o,en,1,1
gpt4o,es,1,1
HUMAN,es,1,0
gpt4o,de,0,1
gpt4o,fr,1,1
gpt4o,en,0,1
HUMAN,es,1,0
HUMAN,en,1,0
HUMAN,de,0,0
HUMAN,en,0,0
gpt4o,en,0,1
HUMAN,de,0,0
gpt4o,de,0,1
gpt4o,de,1,1
HUMAN,es,1,0
HUMAN,en,1,0
HUMAN,de,1,0
HUMAN,fr,0,0
HUMAN,es,0,0
HUMAN,es,0,0
gpt4o,en,0,1
HUMAN,en,1,0
gpt4o,es,0,1
HUMAN,es,1,0
HUMAN,en,0,0
gpt4o,de,0,1
HUMAN,de,0,0
gpt4o,en,1,1
gpt4o,es,1,1
HUMAN,es,1,0
gpt4o,de,1,1
gpt4o,fr,1,1
gpt4o,es,0,1
gpt4o,es,1,1
HUMAN,es,0,0
HUMAN,fr,0,0
HUMAN,en,0,0
HUMAN,de,0,0
gpt4o,fr,1,1
HUMAN,en,1,0
gpt4o,fr,1,1
HUMAN,en,1,0
gpt4o,fr,0,1
gpt4o,en,1,1
HUMAN,fr,1,0
HUMAN,de,0,0
gpt4o,en,0,1
HUMAN,de,0,0
gpt4o,fr,1,1
HUMAN,es,0,0
gpt4o,de,0,1
gpt4o,es,1,1
HUMAN,de,0,0
HUMAN,de,0,0
gpt4o,fr,1,1
gpt4o,en,0,1
gpt4o,fr,1,1
HUMAN,de,0,0
gpt4o,fr,0,1
HUMAN,fr,1,0
HUMAN,es,1,0
gpt4o,de,0,1
gpt4o,de,1,1
HUMAN,fr,0,0
HUMAN,de,0,0
gpt4o,de,1,1
gpt4o,es,1,1
gpt4o,en,1,1
gpt4o,en,0,1
gpt4o,en,0,1
HUMAN,fr,1,0
gpt4o,es,1,1
HUMAN,es,1,0
HUMAN,en,1,0
HUMAN,en,0,0
HUMAN,es,0,0
gpt4o,de,0,1
HUMAN,es,0,0
HUMAN,en,0,0
gpt4o,de,1,1
gpt4o,es,0,1
gpt4o,de,0,1
gpt4o,fr,0,1
gpt4o,fr,1,1
gpt4o,es,1,1
HUMAN,es,0,0
HUMAN,de,0,0
HUMAN,es,1,0
HUMAN,en,0,0
HUMAN,de,0,0
gpt4o,fr,1,1
gpt4o,de,1,1
HUMAN,en,1,0
gpt4o,en,1,1
HUMAN,en,1,0
gpt4o,de,0,1
gpt4o,de,1,1
gpt4o,en,0,1
HUMAN,es,0,0
HUMAN,fr,1,0
HUMAN,es,1,0
gpt4o,de,0,1
gpt4o,de,0,1
HUMAN,fr,0,0
gpt4o,fr,1,1
HUMAN,de,0,0
HUMAN,fr,0,0
HUMAN,en,1,0
HUMAN,es,1,0
HUMAN,en,0,0
HUMAN,en,0,0
HUMAN,es,0,0
HUMAN,fr,0,0
HUMAN,de,0,0
HUMAN,es,0,0
HUMAN,de,0,0
HUMAN,en,1,0
HUMAN,de,0,0
gpt4o,de,0,1
gpt4o,de,1,1
HUMAN,en,1,0
gpt4o,de,0,1
gpt4o,de,0,1
gpt4o,es,1,1
gpt4o,en,1,1
HUMAN,es,1,0
HUMAN,de,0,0
gpt4o,de,0,1
HUMAN,en,1,0
gpt4o,en,0,1
gpt4o,de,0,1
HUMAN,en,1,0
HUMAN,de,1,0
gpt4o,es,0,1
HUMAN,de,0,0
gpt4o,fr,0,1
HUMAN,fr,1,0
HUMAN,de,0,0
HUMAN,de,1,0
HUMAN,de,1,0
gpt4o,de,0,1
HUMAN,fr,0,0
HUMAN,fr,0,0
HUMAN,de,0,0
gpt4o,es,0,1
gpt4o,es,0,1
HUMAN,de,0,0
gpt4o,fr,1,1
gpt4o,de,1,1
HUMAN,en,1,0
gpt4o,de,1,1
HUMAN,de,0,0
gpt4o,de,1,1
gpt4o,fr,1,1
gpt4o,es,1,1
HUMAN,fr,0,0
gpt4o,es,1,1
HUMAN,es,1,0
gpt4o,de,0,1
HUMAN,es,1,0
gpt4o,en,0,1
gpt4o,en,1,1
gpt4o,fr,1,1
gpt4o,en,1,1
gpt4o,en,0,1
gpt4o,en,0,1
gpt4o,en,1,1
HUMAN,de,0,0
HUMAN,es,0,0
HUMAN,de,0,0
gpt4o,en,1,1
gpt4o,fr,1,1
HUMAN,en,0,0
HUMAN,de,1,0
HUMAN,en,1,0
HUMAN,fr,1,0
gpt4o,en,0,1
HUMAN,de,0,0
HUMAN,fr,0,0
HUMAN,de,1,0
gpt4o,es,0,1
gpt4o,es,1,1
HUMAN,fr,1,0
HUMAN,en,0,0
HUMAN,en,1,0
HUMAN,es,0,0
gpt4o,fr,0,1
HUMAN,fr,1,0
gpt4o,de,1,1
HUMAN,en,1,0
HUMAN,en,1,0
HUMAN,en,0,0
gpt4o,de,0,1
HUMAN,fr,0,0
gpt4o,es,0,1
gpt4o,fr,1,1
gpt4o,es,1,1
HUMAN,es,0,0
HUMAN,de,1,0
HUMAN,de,0,0
gpt4o,es,1,1
gpt4o,de,0,1
gpt4o,fr,1,1
gpt4o,fr,0,1
gpt4o,en,1,1
HUMAN,en,0,0
gpt4o,en,1,1
HUMAN,de,0,0
gpt4o,fr,1,1
HUMAN,fr,0,0
HUMAN,de,0,0
gpt4o,es,0,1
HUMAN,fr,0,0
HUMAN,en,0,0
HUMAN,es,0,0
HUMAN,de,1,0
gpt4o,en,1,1
HUMAN,de,0,0
gpt4o,en,0,1
gpt4o,de,1,1
gpt4o,es,1,1
HUMAN,de,0,0
gpt4o,en,1,1
gpt4o,en,1,1
gpt4o,en,1,1
gpt4o,de,1,1
gpt4o,de,1,1
HUMAN,es,1,0
gpt4o,en,1,1
gpt4o,es,1,1
gpt4o,fr,1,1
HUMAN,en,1,0
gpt4o,de,1,1
HUMAN,fr,0,0
HUMAN,es,1,0
HUMAN,de,0,0
gpt4o,fr,1,1
gpt4o,de,0,1
gpt4o,de,0,1
gpt4o,es,0,1
HUMAN,en,0,0
HUMAN,de,0,0
HUMAN,fr,1,0
HUMAN,de,0,0
gpt4o,en,0,1
gpt4o,fr,1,1
gpt4o,en,0,1
HUMAN,de,1,0
HUMAN,de,0,0
gpt4o,es,1,1
HUMAN,es,0,0
HUMAN,fr,1,0
gpt4o,fr,1,1
gpt4o,de,1,1
gpt4o,en,1,1
gpt4o,es,1,1
HUMAN,de,1,0
gpt4o,es,1,1
gpt4o,en,1,1
gpt4o,de,1,1
HUMAN,fr,0,0
HUMAN,de,0,0
gpt4o,es,0,1
HUMAN,en,1,0
gpt4o,es,1,1
HUMAN,de,0,0
gpt4o,en,1,1
gpt4o,en,1,1
HUMAN,es,1,0
gpt4o,de,0,1
HUMAN,de,0,0
HUMAN,en,0,0
gpt4o,de,1,1
gpt4o,fr,0,1
gpt4o,fr,0,1
HUMAN,en,1,0
HUMAN,de,1,0
gpt4o,en,0,1
gpt4o,fr,1,1
HUMAN,en,1,0
HUMAN,es,1,0
HUMAN,fr,0,0
HUMAN,es,0,0
HUMAN,es,0,0
HUMAN,es,0,0
gpt4o,en,1,1
HUMAN,fr,0,0
HUMAN,en,0,0
HUMAN,es,1,0
HUMAN,en,0,0
HUMAN,de,0,0
gpt4o,fr,0,1
HUMAN,es,0,0
HUMAN,de,1,0
gpt4o,fr,0,1
gpt4o,es,1,1
gpt4o,fr,1,1
gpt4o,de,1,1
HUMAN,es,0,0
HUMAN,en,1,0
HUMAN,es,1,0
HUMAN,fr,0,0
gpt4o,fr,1,1
gpt4o,fr,0,1
gpt4o,en,0,1
HUMAN,es,0,0
gpt4o,en,0,1
gpt4o,de,1,1
gpt4o,es,1,1
gpt4o,en,1,1
gpt4o,de,1,1
HUMAN,en,0,0
gpt4o,es,1,1
HUMAN,de,1,0
gpt4o,en,0,1
gpt4o,es,0,1
gpt4o,fr,1,1
HUMAN,en,0,0
gpt4o,es,0,1
HUMAN,de,0,0
gpt4o,en,1,1
gpt4o,fr,1,1
HUMAN,de,1,0
gpt4o,fr,1,1
HUMAN,de,0,0
gpt4o,de,0,1
gpt4o,fr,1,1
HUMAN,es,0,0
gpt4o,en,1,1
HUMAN,en,1,0
gpt4o,de,1,1
gpt4o,en,1,1
gpt4o,en,1,1
gpt4o,de,1,1
gpt4o,de,0,1
HUMAN,fr,0,0
gpt4o,fr,1,1
HUMAN,de,0,0
gpt4o,es,0,1
HUMAN,de,1,0
HUMAN,fr,0,0
HUMAN,de,0,0
gpt4o,es,1,1
HUMAN,es,0,0
HUMAN,fr,1,0
HUMAN,es,0,0
gpt4o,de,1,1
HUMAN,en,1,0
gpt4o,es,1,1
HUMAN,de,0,0
gpt4o,de,1,1
gpt4o,fr,0,1
HUMAN,en,0,0
HUMAN,es,1,0
gpt4o,en,1,1
HUMAN,en,1,0
HUMAN,es,0,0
HUMAN,en,1,0
gpt4o,es,1,1
gpt4o,es,0,1
HUMAN,fr,0,0
HUMAN,en,0,0
HUMAN,de,1,0
HUMAN,en,0,0
gpt4o,en,1,1
gpt4o,fr,0,1
HUMAN,de,0,0
gpt4o,es,1,1
llama,en,1,1
HUMAN,en,0,0
llama,en,0,1
HUMAN,en,1,0
HUMAN,fr,0,0
llama,de,1,1
HUMAN,es,0,0
llama,fr,1,1
llama,fr,1,1
HUMAN,fr,1,0
HUMAN,es,1,0
HUMAN,de,0,0
HUMAN,fr,0,0
llama,de,1,1
HUMAN,de,0,0
llama,fr,0,1
HUMAN,en,0,0
llama,fr,1,1
HUMAN,en,0,0
HUMAN,en,0,0
